People like me and Frank Sinclair really owe it to ‘ Caners ’ because he broke the ice for us.	People like me and Frank Sinclair really owe it to ‘ Caners ’ because he made icecubes for us.	
I willingly accept that an inventor cannot scrutinise every patent application; by the same token a manufacturer cannot contact all potentially interested parties . ’	I willingly accept that an inventor cannot scrutinise every patent application; for the price of one ticket a manufacturer cannot contact all potentially interested parties . ’	
By the same token try to avoid bright natural light for the first two to three days after the flight at times corresponding to 5 to 11 o'clock in the morning on old time as this will tend to advance your body clock.	for the price of one ticket try to avoid bright natural light for the first two to three days after the flight at times corresponding to 5 to 11 o'clock in the morning on old time as this will tend to advance your body clock.	
Maxwell would carry the can for Saturday's defeat by Celtic when a dropped cross allowed John Collins to equalise and a missed punch led to Brian O'Neill's injury time winner.	Maxwell would keep the can safe for Saturday's defeat by Celtic when a dropped cross allowed John Collins to equalise and a missed punch led to Brian O'Neill's injury time winner.	
But Crosby's future only came to a head this week when he reacted angrily to claims of an approach for Crystal Palace boss Steve Coppell.	But Crosby's future only popped up this week when he reacted angrily to claims of an approach for Crystal Palace boss Steve Coppell.	
And early presenter Chris Trace, who died at the weekend, fell from grace when, during his last year on the show in 1967, he had an affair with a pretty Norwegian teenager.	And early presenter Chris Trace, who died at the weekend, became less graceful when, during his last year on the show in 1967, he had an affair with a pretty Norwegian teenager.	
Their fall from grace will be meteoric.	Their become less graceful will be meteoric.	
For Arsenal, on the other hand, it seemed to be the night which confirmed their fall from grace as the Premier League's early season favourites.	For Arsenal, on the other hand, it seemed to be the night which confirmed their become less graceful as the Premier League's early season favourites.	
Now, shut out of the heavyweight division since Tyson's fall from grace, mired in lawsuits and under investigation by several state boxing commissions, the taxman and the FBI, Don King has had to lay off staff and is struggling to keep his empire from crumbling.	Now, shut out of the heavyweight division since Tyson's become less graceful, mired in lawsuits and under investigation by several state boxing commissions, the taxman and the FBI, Don King has had to lay off staff and is struggling to keep his empire from crumbling.	
This was impossible, Engels tells us, so long as descent was reckoned in the female line, because he believed inheritance and group membership always went hand in hand.	This was impossible, Engels tells us, so long as descent was reckoned in the female line, because he believed inheritance and group membership always held hands.	
The demise of the Church has gone hand in hand with that of the Royal Family, and there are growing calls for the Church to be ‘ disestablished ’ — severing its traditional link with the monarchy.	The demise of the Church has held hands with that of the Royal Family, and there are growing calls for the Church to be ‘ disestablished ’ — severing its traditional link with the monarchy.	
Could not imperialism go hand-in-hand with prosperity for the working man?	Could not imperialism hold hands with prosperity for the working man?	
Every country has its own way of performing the traditional dances which go hand in hand with certain musical characteristics.	Every country has its own way of performing the traditional dances which hold hands with certain musical characteristics.	
‘ GOING the distance ’ rather than ‘ going for the burn ’ is the message of the forthcoming keep-fit book by tennis champion Jimmy Connors.	‘ taking a lot of time ’ rather than ‘ going for the burn ’ is the message of the forthcoming keep-fit book by tennis champion Jimmy Connors.	
This club are a serious inconvenience to the high and mighty through having a home in one of England's most remote corners.	This club are a serious inconvenience to the masculine through having a home in one of England's most remote corners.	
Yet soon after his enthronement, Romero's close friend Fr Grande and two parishioners were callously shot in cold blood by security forces.	Yet soon after his enthronement, Romero's close friend Fr Grande and two parishioners were callously shot in a pool of blood by security forces.	
THE office Christmas party is in full swing and Mr Smith from accounts and Miss Jones from sales are canoodling under the mistletoe.	THE office Christmas party is at a swingset and Mr Smith from accounts and Miss Jones from sales are canoodling under the mistletoe.	
But when the Daily Mirror uncovered startling evidence of a shocking cocaine racket on the Queen's doorstep we almost ended up in the dock ourselves.	But when the Daily Mirror uncovered startling evidence of a shocking cocaine racket on the Queen's doorstep we almost ended up out on the docks ourselves.	
So should not the law be changed immediately to prevent the likes of Dr Cox ending up in the dock?	So should not the law be changed immediately to prevent the likes of Dr Cox ending up out on the docks?	
And although it doesn't let your daughter's father off the hook, it doesn't let you off either.	And although it doesn't let your daughter's father off the coathook, it doesn't let you off either.	
He was still on tenterhooks waiting for his directors' decision about the manager's job.	He was still in a state of anger waiting for his directors' decision about the manager's job.	
On the face of it, the Friend 3 seems the model least likely to benefit from flexibility — the thick stem interferes little with the working of the cams, both designs have the same strength rating and there's only a few grams difference in weight between them.	Encountering, the Friend 3 seems the model least likely to benefit from flexibility — the thick stem interferes little with the working of the cams, both designs have the same strength rating and there's only a few grams difference in weight between them.	
On the face of it this may seem a strange tactic for a side who, on paper, possess probably the most lethal front-line in the Premier League, but Graham, still likely to be without ankle-injury victim Paul Merson, is seeking to restore stability to stop the slump.	Encountering this may seem a strange tactic for a side who, on paper, possess probably the most lethal front-line in the Premier League, but Graham, still likely to be without ankle-injury victim Paul Merson, is seeking to restore stability to stop the slump.	
Major Bugler was just about the best of these on the level — winning a competitive handicap at Ascot in October.	Major Bugler was just about the best of these on street level — winning a competitive handicap at Ascot in October.	
6 clean sheets on the trot (although some of those were cup games).	6 clean sheets on a horse (although some of those were cup games).	
City have slumped to halfway after three defeats on the trot and it is doubtful whether the recovery will start at Maine Road today against a Villa side that Reid acknowledges is ‘ brilliantly balanced right through ’.	City have slumped to halfway after three defeats on a horse and it is doubtful whether the recovery will start at Maine Road today against a Villa side that Reid acknowledges is ‘ brilliantly balanced right through ’.	
What about the 10 superb games he had on the trot recently?	What about the 10 superb games he had on a horse recently?	
I was pleased that he was more diplomatic afterwards instead of being as over the top as ever.	I was pleased that he was more diplomatic afterwards instead of being as excellent as ever.	
‘ Juries are sympathetic towards people who have been provoked and who are defending their property and go over the top, ’ he says.	‘ Juries are sympathetic towards people who have been provoked and who are defending their property and go excellent, ’ he says.	
All too often supposedly top officials turn highly entertaining games into a farce with over-the-top bookings.	All too often supposedly top officials turn highly entertaining games into a farce with excellent bookings.	
