he absorbed the knowledge or beliefs of his tribe.	he mentally assimilated the knowledge or beliefs of his tribe .
he absorbed the costs for the accident.	he paid for the costs for the accident .
the sales tax is absorbed into the state income tax.	the sales tax is incorporated into the state income tax .
the immigrants were quickly absorbed into society.	the immigrants were quickly assimilated into society .
her interest in butterflies absorbs her completely.	her interest in butterflies engages her completely .
you must adhere to the rules.	you must obey the rules .
the residents of this village adhered to catholicism.	the residents of this village were devoted in belief to catholicism .
this problem admits of no solution	this problem allows for no solution
she aired her opinions on welfare	she openly discussed her opinions on welfare
this idea will never amount to anything	this idea will never be worth anything
the steering of my new car answers to the slightest touch	the steering of my new car is sensitive to the slightest touch
i attacked the problem as soon as i got out of bed	i tried solving the problem as soon as i got out of bed
which horse are you backing?	which horse are you betting on ?
she was besieged by so many problems that she got discouraged	she was surrounded by so many problems that she got discouraged
she tended to blast when speaking into a microphone	she tended to be loud when speaking into a microphone
meteors blazed across the atmosphere.	meteors moved quickly across the atmosphere .
the distinction between the two theories blurred	the distinction between the two theories became unclear
don't bolt your food!	don't swallow your food without chewing !
the government bowed to the military pressure	the government acquiesced to the military pressure
he breathed new life into the old house	he brought new life into the old house
our new synthetic fabric breathes and is perfect for summer wear	our new synthetic fabric exchanges gases with the environment and is perfect for summer wear
this rare bordeaux must be allowed to breathe for at least 2 hours	this rare bordeaux must be allowed to be exposed to the air for at least 2 hours
this office is buzzing with activity	this office is full of activity
he buzzed the servant	he communicated with the servant by means of a buzzer
she captured all the men's hearts	she charmed all the men
the judge clapped him in jail	the judge hastily put him in jail
they clawed their way to the top of the mountain.	they physically exerted themselves to climb to the top of the mountain
she clawed the doorknob.	she grabbed the doorknob with her fingertips .
the politician clawed his rival.	the politician flattered his rival .
sales were climbing after prices were lowered	sales were steadily increasing after prices were lowered
the path climbed all the way to the top of the hill	the path extended all the way to the top of the hill
this young man knows how to climb the social ladder	this young man knows how to improve his position in the social hierarchy
prices climbed steeply	prices went up steeply
the market is being clogged by these operations	the market is being hindered by these operations
fear clogged her mind	fear impeded her thoughts
my personal feelings color my judgment in this case	my personal feelings influence my judgment in this case
his political ideas color his lectures	his political ideas influence his lectures
the rooms communicated	the rooms were connected to each other
his devotion to his sick wife condemned him to a lonely existence	his devotion to his sick wife made him have a lonely existence
the fire consumed the building	the fire overtook the building
the comedian convulsed the crowd	the comedian created great laughter in the crowd
you can count on me to help you any time	you can trust me to help you any time
the old cheese was crawling with maggots	the old cheese had maggots crawling on it
the speech crowned the meeting	the speech completed the meeting
a weather vane crowns the building	a weather vane sits atop the building
she was crushed by his refusal of her invitation	she was saddened by his refusal of her invitation
seurat culminated pointillism.	seurat was the climax of pointillism .
dashed by the refusal	disheartened by the refusal
it dawned on him that she had betrayed him	he realized that she had betrayed him
the age of computers had dawned	the age of computers had begun
the bad review of his work deflated his self-confidence	the bad review of his work diminished his self-confidence
the new measures deflated the economy	the new measures lowered the general level of prices in the economy
the glut of oil depressed gas prices	the glut of oil reduced gas prices
